retail_and_recreation_percent_ch,grocery_and_pharmacy_percent_cha,parks_percent_change_from_baseli,transit_stations_percent_change_,workplaces_percent_change_from_b,stay_home,lgd_state_name,date,lgd_district_name,av_stay_home
-3,-1,1,2,2,-2,andhra pradesh,15feb2020,anantapur,
-5,1,3,1,2,2,andhra pradesh,16feb2020,anantapur,
-1,0,2,1,9,0,andhra pradesh,17feb2020,anantapur,
0,2,3,2,5,0,andhra pradesh,18feb2020,anantapur,.42857143
-1,2,2,2,3,0,andhra pradesh,19feb2020,anantapur,1.2857143
-1,5,2,8,5,-1,andhra pradesh,20feb2020,anantapur,1.5714285
0,4,9,6,-23,4,andhra pradesh,21feb2020,anantapur,1.5714285
-7,-1,5,-4,-14,4,andhra pradesh,22feb2020,anantapur,1.5714285
-5,1,3,1,0,4,andhra pradesh,23feb2020,anantapur,1.5714285
1,2,7,7,8,0,andhra pradesh,24feb2020,anantapur,1.7142857
2,4,7,1,5,0,andhra pradesh,25feb2020,anantapur,1.1428572
2,5,7,2,2,0,andhra pradesh,26feb2020,anantapur,.5714286
-2,4,1,2,5,0,andhra pradesh,27feb2020,anantapur,.14285715
-1,6,0,4,6,0,andhra pradesh,28feb2020,anantapur,.14285715
-3,4,-1,1,9,0,andhra pradesh,29feb2020,anantapur,.14285715
-3,8,0,3,6,1,andhra pradesh,01mar2020,anantapur,.14285715
-1,5,2,3,10,0,andhra pradesh,02mar2020,anantapur,.14285715
0,4,0,2,7,0,andhra pradesh,03mar2020,anantapur,.14285715
0,5,-1,5,5,0,andhra pradesh,04mar2020,anantapur,.14285715
0,5,-2,3,5,0,andhra pradesh,05mar2020,anantapur,.2857143
-1,6,-1,7,8,0,andhra pradesh,06mar2020,anantapur,.5714286
-2,6,-1,5,6,0,andhra pradesh,07mar2020,anantapur,.71428573
-2,6,0,4,4,2,andhra pradesh,08mar2020,anantapur,.85714287
-2,3,2,1,4,2,andhra pradesh,09mar2020,anantapur,1.1428572
-2,5,3,1,2,1,andhra pradesh,10mar2020,anantapur,1.2857143
-2,4,-4,-1,2,1,andhra pradesh,11mar2020,anantapur,1.7142857
-3,5,-4,-4,3,2,andhra pradesh,12mar2020,anantapur,1.8571428
-4,3,-4,0,6,1,andhra pradesh,13mar2020,anantapur,2
-3,4,0,0,-12,3,andhra pradesh,14mar2020,anantapur,2.2857144
-4,2,5,2,0,3,andhra pradesh,15mar2020,anantapur,2.5714285
-1,5,1,0,6,3,andhra pradesh,16mar2020,anantapur,2.8571429
-2,6,6,-2,3,3,andhra pradesh,17mar2020,anantapur,3.5714285
0,9,5,0,1,3,andhra pradesh,18mar2020,anantapur,4
1,11,5,5,-4,4,andhra pradesh,19mar2020,anantapur,7.1428571
-1,22,2,3,-7,6,andhra pradesh,20mar2020,anantapur,9
2,37,8,2,-8,6,andhra pradesh,21mar2020,anantapur,11.714286
-67,-62,-27,-57,-39,25,andhra pradesh,22mar2020,anantapur,15.714286
-31,16,3,-34,-29,16,andhra pradesh,23mar2020,anantapur,19.285715
-55,-19,-3,-49,-49,22,andhra pradesh,24mar2020,anantapur,22.571428
-70,-57,-13,-65,-66,31,andhra pradesh,25mar2020,anantapur,26
-68,-48,-11,-63,-58,29,andhra pradesh,26mar2020,anantapur,25.857143
-67,-46,-13,-61,-55,29,andhra pradesh,27mar2020,anantapur,27.714285
-69,-48,-17,-63,-55,30,andhra pradesh,28mar2020,anantapur,28.428572
-66,-45,-18,-61,-36,24,andhra pradesh,29mar2020,anantapur,28
-67,-46,-8,-62,-51,29,andhra pradesh,30mar2020,anantapur,28.285715
-65,-40,-8,-61,-51,27,andhra pradesh,31mar2020,anantapur,28.142857
-67,-44,-11,-61,-53,28,andhra pradesh,01apr2020,anantapur,27.714285
-68,-46,-14,-63,-56,31,andhra pradesh,02apr2020,anantapur,27.428572
-67,-44,-10,-60,-50,28,andhra pradesh,03apr2020,anantapur,27.428572
-67,-47,-14,-62,-48,27,andhra pradesh,04apr2020,anantapur,27.428572
-65,-44,-16,-59,-29,22,andhra pradesh,05apr2020,anantapur,27.428572
-68,-47,0,-62,-50,29,andhra pradesh,06apr2020,anantapur,27.428572
-68,-29,13,-54,-52,27,andhra pradesh,07apr2020,anantapur,27.857143
-70,-30,13,-54,-51,28,andhra pradesh,08apr2020,anantapur,28.571428
-71,-34,5,-57,-52,31,andhra pradesh,09apr2020,anantapur,29.285715
-71,-34,6,-57,-57,31,andhra pradesh,10apr2020,anantapur,29.714285
-73,-37,1,-59,-55,32,andhra pradesh,11apr2020,anantapur,30.142857
-71,-33,-2,-56,-34,27,andhra pradesh,12apr2020,anantapur,30.571428
-72,-35,10,-58,-49,32,andhra pradesh,13apr2020,anantapur,30.571428
-71,-33,12,-56,-55,30,andhra pradesh,14apr2020,anantapur,30.428572
-71,-31,12,-56,-50,31,andhra pradesh,15apr2020,anantapur,30.142857
-84,-21,1,-55,-51,31,andhra pradesh,16apr2020,anantapur,30
-83,-21,-1,-54,-50,30,andhra pradesh,17apr2020,anantapur,29.857143
-84,-24,-6,-57,-49,30,andhra pradesh,18apr2020,anantapur,29.714285
-84,-24,-11,-55,-32,26,andhra pradesh,19apr2020,anantapur,29.714285
-85,-26,2,-57,-47,31,andhra pradesh,20apr2020,anantapur,29.857143
-84,-23,4,-55,-49,29,andhra pradesh,21apr2020,anantapur,30
-84,-24,0,-57,-50,31,andhra pradesh,22apr2020,anantapur,30.142857
-85,-22,-3,-58,-50,32,andhra pradesh,23apr2020,anantapur,30.285715
-84,-22,-3,-56,-48,31,andhra pradesh,24apr2020,anantapur,30.428572
-85,-25,-9,-59,-49,31,andhra pradesh,25apr2020,anantapur,30.571428
-84,-26,-14,-57,-30,27,andhra pradesh,26apr2020,anantapur,30.428572
-85,-27,1,-59,-47,32,andhra pradesh,27apr2020,anantapur,30.142857
-84,-22,1,-56,-48,30,andhra pradesh,28apr2020,anantapur,29.857143
-84,-22,-1,-57,-48,30,andhra pradesh,29apr2020,anantapur,29.571428
-84,-20,-1,-57,-46,30,andhra pradesh,30apr2020,anantapur,29.285715
-84,-18,-2,-55,-48,29,andhra pradesh,01may2020,anantapur,28.714285
-84,-20,-7,-57,-44,29,andhra pradesh,02may2020,anantapur,28.285715
-83,-22,-11,-55,-26,25,andhra pradesh,03may2020,anantapur,27.857143
-82,-17,6,-53,-40,28,andhra pradesh,04may2020,anantapur,27.428572
-82,-12,5,-52,-42,27,andhra pradesh,05may2020,anantapur,26.714285
-81,-9,2,-50,-40,27,andhra pradesh,06may2020,anantapur,26.428572
-81,-5,1,-51,-38,27,andhra pradesh,07may2020,anantapur,26.142857
-80,-6,0,-49,-37,24,andhra pradesh,08may2020,anantapur,26
-81,-12,-6,-52,-41,27,andhra pradesh,09may2020,anantapur,25.714285
-81,-15,-9,-51,-19,23,andhra pradesh,10may2020,anantapur,25.571428
-80,-11,4,-52,-34,27,andhra pradesh,11may2020,anantapur,25.571428
-80,-7,6,-49,-36,25,andhra pradesh,12may2020,anantapur,25.857143
-80,-6,2,-49,-36,26,andhra pradesh,13may2020,anantapur,25.571428
-80,-4,1,-50,-34,27,andhra pradesh,14may2020,anantapur,25.285715
-80,-2,-1,-47,-32,26,andhra pradesh,15may2020,anantapur,24.857143
-80,-6,-5,-49,-31,25,andhra pradesh,16may2020,anantapur,24.571428
-80,-9,-8,-48,-14,21,andhra pradesh,17may2020,anantapur,24.285715
-79,-2,4,-46,-29,24,andhra pradesh,18may2020,anantapur,23.857143
-78,2,5,-44,-31,23,andhra pradesh,19may2020,anantapur,23.428572
-76,4,3,-43,-30,24,andhra pradesh,20may2020,anantapur,23
-75,6,0,-44,-28,24,andhra pradesh,21may2020,anantapur,22.714285
-73,11,-2,-40,-24,23,andhra pradesh,22may2020,anantapur,23
-72,13,-4,-41,-26,22,andhra pradesh,23may2020,anantapur,22.428572
-73,9,-7,-42,-8,19,andhra pradesh,24may2020,anantapur,21.714285
-74,7,4,-44,-42,26,andhra pradesh,25may2020,anantapur,21.142857
-70,16,5,-37,-25,19,andhra pradesh,26may2020,anantapur,20.571428
-69,22,4,-34,-24,19,andhra pradesh,27may2020,anantapur,20
-68,25,2,-35,-22,20,andhra pradesh,28may2020,anantapur,19.714285
-68,27,-1,-33,-20,19,andhra pradesh,29may2020,anantapur,18.571428
-67,29,-4,-34,-16,18,andhra pradesh,30may2020,anantapur,18.285715
-70,20,-7,-35,1,17,andhra pradesh,31may2020,anantapur,18.142857
-67,26,4,-32,-17,18,andhra pradesh,01jun2020,anantapur,18
-65,32,6,-29,-18,17,andhra pradesh,02jun2020,anantapur,18
-64,39,4,-27,-18,18,andhra pradesh,03jun2020,anantapur,18
-66,36,2,-30,-17,19,andhra pradesh,04jun2020,anantapur,18
-65,30,1,-31,-15,19,andhra pradesh,05jun2020,anantapur,18
-65,27,-3,-34,-16,18,andhra pradesh,06jun2020,anantapur,18
-68,20,-5,-36,2,17,andhra pradesh,07jun2020,anantapur,17.857143
-64,30,5,-30,-14,18,andhra pradesh,08jun2020,anantapur,18
-63,32,5,-29,-15,17,andhra pradesh,09jun2020,anantapur,17.714285
-62,37,4,-26,-17,17,andhra pradesh,10jun2020,anantapur,17.714285
-62,30,-3,-32,-18,20,andhra pradesh,11jun2020,anantapur,17.428572
-58,38,1,-26,-14,17,andhra pradesh,12jun2020,anantapur,17.285715
-59,34,-4,-31,-22,18,andhra pradesh,13jun2020,anantapur,17.142857
-61,29,-6,-33,4,15,andhra pradesh,14jun2020,anantapur,17.142857
-58,35,6,-28,-16,17,andhra pradesh,15jun2020,anantapur,16.857143
-58,39,7,-27,-18,16,andhra pradesh,16jun2020,anantapur,17
-58,39,2,-26,-18,17,andhra pradesh,17jun2020,anantapur,16.857143
-60,30,-1,-31,-16,18,andhra pradesh,18jun2020,anantapur,18.142857
-60,30,-2,-29,-15,18,andhra pradesh,19jun2020,anantapur,18.571428
-59,35,-4,-32,-15,17,andhra pradesh,20jun2020,anantapur,18.857143
-76,-17,-15,-51,-6,24,andhra pradesh,21jun2020,anantapur,19.142857
-68,14,1,-36,-18,20,andhra pradesh,22jun2020,anantapur,19.428572
-66,21,1,-33,-19,18,andhra pradesh,23jun2020,anantapur,19.428572
-68,19,-3,-34,-19,19,andhra pradesh,24jun2020,anantapur,19.714285
-69,18,-5,-36,-19,20,andhra pradesh,25jun2020,anantapur,18.857143
-68,21,-5,-33,-17,18,andhra pradesh,26jun2020,anantapur,18.571428
-69,12,-8,-38,-19,19,andhra pradesh,27jun2020,anantapur,18.428572
-69,9,-11,-40,-2,18,andhra pradesh,28jun2020,anantapur,18.428572
-67,18,-2,-35,-16,18,andhra pradesh,29jun2020,anantapur,18.428572
-64,14,-2,-34,-18,17,andhra pradesh,30jun2020,anantapur,18.571428
-67,9,-5,-35,-20,19,andhra pradesh,01jul2020,anantapur,18.571428
-68,9,-7,-38,-20,20,andhra pradesh,02jul2020,anantapur,18.714285
-68,12,-7,-35,-18,19,andhra pradesh,03jul2020,anantapur,18.857143
-67,11,-10,-38,-17,19,andhra pradesh,04jul2020,anantapur,19
-71,-2,-15,-44,-3,19,andhra pradesh,05jul2020,anantapur,19
-67,8,-2,-39,-17,19,andhra pradesh,06jul2020,anantapur,19.285715
-66,12,-3,-37,-20,18,andhra pradesh,07jul2020,anantapur,19.285715
-67,10,-5,-37,-21,19,andhra pradesh,08jul2020,anantapur,19.428572
-69,-2,-8,-42,-22,22,andhra pradesh,09jul2020,anantapur,19.285715
-66,11,-6,-36,-19,19,andhra pradesh,10jul2020,anantapur,19.285715
-67,9,-9,-41,-26,20,andhra pradesh,11jul2020,anantapur,19.428572
-70,-2,-13,-45,-6,18,andhra pradesh,12jul2020,anantapur,19.857143
-67,7,-1,-38,-18,19,andhra pradesh,13jul2020,anantapur,20.142857
-66,7,1,-37,-21,19,andhra pradesh,14jul2020,anantapur,20.571428
-67,5,-6,-38,-24,22,andhra pradesh,15jul2020,anantapur,20.714285
-68,2,-8,-43,-23,24,andhra pradesh,16jul2020,anantapur,21.142857
-68,7,-7,-41,-22,22,andhra pradesh,17jul2020,anantapur,21.857143
-68,2,-11,-43,-22,21,andhra pradesh,18jul2020,anantapur,22.142857
-72,-12,-15,-49,-11,21,andhra pradesh,19jul2020,anantapur,22
-70,-3,-4,-45,-23,24,andhra pradesh,20jul2020,anantapur,21.571428
-67,4,-1,-41,-24,21,andhra pradesh,21jul2020,anantapur,21.571428
-67,8,-4,-39,-25,21,andhra pradesh,22jul2020,anantapur,21.714285
-67,5,-5,-41,-25,21,andhra pradesh,23jul2020,anantapur,22.142857
-68,4,-5,-40,-24,22,andhra pradesh,24jul2020,anantapur,21.857143
-69,-3,-6,-42,-28,22,andhra pradesh,25jul2020,anantapur,21.857143
-80,-41,-13,-58,-23,24,andhra pradesh,26jul2020,anantapur,21.857143
-68,6,0,-40,-24,22,andhra pradesh,27jul2020,anantapur,21.857143
-67,5,1,-39,-26,21,andhra pradesh,28jul2020,anantapur,21.857143
-67,10,-2,-38,-28,21,andhra pradesh,29jul2020,anantapur,22
-65,17,-6,-39,-27,21,andhra pradesh,30jul2020,anantapur,21.714285
-67,17,-8,-39,-28,22,andhra pradesh,31jul2020,anantapur,21.428572
-69,2,-8,-45,-40,23,andhra pradesh,01aug2020,anantapur,21.285715
-78,-31,-12,-54,-22,22,andhra pradesh,02aug2020,anantapur,21
-64,24,1,-37,-24,20,andhra pradesh,03aug2020,anantapur,20.571428
-64,17,-4,-37,-25,20,andhra pradesh,04aug2020,anantapur,19.714285
-63,9,-24,-38,-25,19,andhra pradesh,05aug2020,anantapur,18.857143
-63,8,-22,-40,-24,18,andhra pradesh,06aug2020,anantapur,18.142857
-62,10,-19,-37,-20,16,andhra pradesh,07aug2020,anantapur,17.571428
-64,1,-21,-42,-28,17,andhra pradesh,08aug2020,anantapur,17.285715
-76,-38,-25,-53,-15,17,andhra pradesh,09aug2020,anantapur,16.857143
-59,16,-15,-36,-18,16,andhra pradesh,10aug2020,anantapur,16.571428
-60,12,-14,-38,-28,18,andhra pradesh,11aug2020,anantapur,16.428572
-58,18,-17,-34,-20,16,andhra pradesh,12aug2020,anantapur,16.285715
-59,12,-17,-36,-21,16,andhra pradesh,13aug2020,anantapur,16.142857
-56,18,-19,-33,-19,15,andhra pradesh,14aug2020,anantapur,16.142857
-59,9,-20,-38,-30,16,andhra pradesh,15aug2020,anantapur,15.571428
-65,-10,-26,-45,-2,16,andhra pradesh,16aug2020,anantapur,15.714286
,,,,-16,16,andhra pradesh,17aug2020,anantapur,15.714286
,,,,-17,14,andhra pradesh,18aug2020,anantapur,15.857142
,,,,-19,17,andhra pradesh,19aug2020,anantapur,16.571428
,,,,-19,16,andhra pradesh,20aug2020,anantapur,16.285715
,,,,-19,16,andhra pradesh,21aug2020,anantapur,16.142857
,,,,-37,21,andhra pradesh,22aug2020,anantapur,16.285715
,,,,-6,14,andhra pradesh,23aug2020,anantapur,16
,,,,-17,15,andhra pradesh,24aug2020,anantapur,16
,,,,-20,15,andhra pradesh,25aug2020,anantapur,15.857142
,,,,-19,15,andhra pradesh,26aug2020,anantapur,14.857142
,,,,-19,16,andhra pradesh,27aug2020,anantapur,14.857142
,,,,-19,15,andhra pradesh,28aug2020,anantapur,14.857142
,,,,-19,14,andhra pradesh,29aug2020,anantapur,14.714286
,,,,-6,14,andhra pradesh,30aug2020,anantapur,15.142858
,,,,-19,15,andhra pradesh,31aug2020,anantapur,15
,,,,-22,14,andhra pradesh,01sep2020,anantapur,15
,,,,-27,18,andhra pradesh,02sep2020,anantapur,14.857142
,,,,-22,15,andhra pradesh,03sep2020,anantapur,14.714286
,,,,-20,15,andhra pradesh,04sep2020,anantapur,14.714286
,,,,-18,13,andhra pradesh,05sep2020,anantapur,14.571428
,,,,-8,13,andhra pradesh,06sep2020,anantapur,14
,,,,-20,15,andhra pradesh,07sep2020,anantapur,14
,,,,-22,13,andhra pradesh,08sep2020,anantapur,13.857142
,,,,-24,14,andhra pradesh,09sep2020,anantapur,14.142858
,,,,-25,15,andhra pradesh,10sep2020,anantapur,14.428572
,,,,-24,14,andhra pradesh,11sep2020,anantapur,14.571428
,,,,-33,15,andhra pradesh,12sep2020,anantapur,14.714286
,,,,-18,15,andhra pradesh,13sep2020,anantapur,15
,,,,-23,16,andhra pradesh,14sep2020,anantapur,15.428572
,,,,-23,14,andhra pradesh,15sep2020,anantapur,15.714286
,,,,-24,16,andhra pradesh,16sep2020,anantapur,15.857142
,,,,-23,18,andhra pradesh,17sep2020,anantapur,15.857142
,,,,-21,16,andhra pradesh,18sep2020,anantapur,15.714286
,,,,-21,16,andhra pradesh,19sep2020,anantapur,
,,,,-13,15,andhra pradesh,20sep2020,anantapur,
,,,,-20,15,andhra pradesh,21sep2020,anantapur,
0,-5,4,-1,8,0,andhra pradesh,15feb2020,chittoor,
-3,-3,6,-1,1,2,andhra pradesh,16feb2020,chittoor,
-1,-6,3,0,9,1,andhra pradesh,17feb2020,chittoor,
-2,-4,7,0,6,0,andhra pradesh,18feb2020,chittoor,1
0,-5,5,0,3,0,andhra pradesh,19feb2020,chittoor,1.2857143
-1,2,6,7,4,-1,andhra pradesh,20feb2020,chittoor,1.2857143
-4,-7,23,3,-32,5,andhra pradesh,21feb2020,chittoor,1.2857143
0,-9,15,1,-9,2,andhra pradesh,22feb2020,chittoor,1.1428572
-2,-6,7,3,0,2,andhra pradesh,23feb2020,chittoor,1
0,-5,4,1,9,1,andhra pradesh,24feb2020,chittoor,1
1,-8,9,1,5,-1,andhra pradesh,25feb2020,chittoor,.2857143
3,-5,9,1,1,-1,andhra pradesh,26feb2020,chittoor,0
3,-3,9,0,4,-1,andhra pradesh,27feb2020,chittoor,-.14285715
0,-3,9,-2,7,0,andhra pradesh,28feb2020,chittoor,-.2857143
2,-3,11,-1,12,0,andhra pradesh,29feb2020,chittoor,0
2,0,12,2,4,1,andhra pradesh,01mar2020,chittoor,.14285715
1,-1,9,-1,12,0,andhra pradesh,02mar2020,chittoor,.2857143
-1,-1,9,-4,8,1,andhra pradesh,03mar2020,chittoor,.42857143
4,0,9,0,5,0,andhra pradesh,04mar2020,chittoor,.42857143
1,1,8,-2,4,0,andhra pradesh,05mar2020,chittoor,.42857143
0,3,6,-3,8,1,andhra pradesh,06mar2020,chittoor,.5714286
3,2,9,0,10,0,andhra pradesh,07mar2020,chittoor,.5714286
0,3,9,0,2,1,andhra pradesh,08mar2020,chittoor,.42857143
1,-1,10,1,6,1,andhra pradesh,09mar2020,chittoor,.42857143
0,0,5,-3,1,1,andhra pradesh,10mar2020,chittoor,.42857143
2,-2,3,-3,2,-1,andhra pradesh,11mar2020,chittoor,.85714287
-2,-2,3,-7,4,0,andhra pradesh,12mar2020,chittoor,1
-4,-3,2,-7,6,1,andhra pradesh,13mar2020,chittoor,1.1428572
-2,-2,3,-8,-11,3,andhra pradesh,14mar2020,chittoor,1.2857143
-6,-1,0,-8,2,2,andhra pradesh,15mar2020,chittoor,1.8571428
-4,1,2,-6,8,2,andhra pradesh,16mar2020,chittoor,2.4285715
-5,1,11,-6,3,2,andhra pradesh,17mar2020,chittoor,3.4285715
-1,1,17,-5,-2,3,andhra pradesh,18mar2020,chittoor,3.8571429
-7,12,4,-2,-8,4,andhra pradesh,19mar2020,chittoor,7
-17,11,-14,-18,-12,8,andhra pradesh,20mar2020,chittoor,9
-18,18,-19,-25,-12,6,andhra pradesh,21mar2020,chittoor,11.857142
-74,-74,-51,-71,-43,24,andhra pradesh,22mar2020,chittoor,15.714286
-47,-14,-24,-52,-33,16,andhra pradesh,23mar2020,chittoor,19.142857
-64,-46,-33,-62,-53,22,andhra pradesh,24mar2020,chittoor,22.142857
-72,-65,-41,-71,-68,30,andhra pradesh,25mar2020,chittoor,25.428572
-71,-57,-41,-71,-60,28,andhra pradesh,26mar2020,chittoor,25
-71,-55,-42,-70,-59,29,andhra pradesh,27mar2020,chittoor,26.714285
-72,-60,-47,-73,-57,29,andhra pradesh,28mar2020,chittoor,27.142857
-68,-57,-46,-70,-37,21,andhra pradesh,29mar2020,chittoor,26.571428
-69,-59,-39,-69,-55,28,andhra pradesh,30mar2020,chittoor,26.857143
-69,-58,-36,-68,-56,25,andhra pradesh,31mar2020,chittoor,26.857143
-69,-57,-38,-68,-57,26,andhra pradesh,01apr2020,chittoor,26.571428
-72,-61,-41,-70,-60,30,andhra pradesh,02apr2020,chittoor,26.571428
-72,-62,-42,-70,-56,29,andhra pradesh,03apr2020,chittoor,26.857143
-71,-62,-46,-72,-52,27,andhra pradesh,04apr2020,chittoor,27
-70,-60,-47,-70,-34,21,andhra pradesh,05apr2020,chittoor,27.285715
-70,-59,-37,-70,-54,30,andhra pradesh,06apr2020,chittoor,27.142857
-74,-50,-36,-63,-57,26,andhra pradesh,07apr2020,chittoor,27.285715
-74,-48,-40,-62,-56,28,andhra pradesh,08apr2020,chittoor,27.571428
-75,-49,-41,-65,-57,29,andhra pradesh,09apr2020,chittoor,27.857143
-74,-48,-40,-65,-59,30,andhra pradesh,10apr2020,chittoor,27.857143
-76,-51,-47,-67,-56,29,andhra pradesh,11apr2020,chittoor,28.142857
-74,-50,-47,-66,-35,23,andhra pradesh,12apr2020,chittoor,28
-74,-49,-40,-65,-52,30,andhra pradesh,13apr2020,chittoor,27.857143
-75,-50,-37,-65,-58,28,andhra pradesh,14apr2020,chittoor,27.714285
-74,-44,-38,-62,-53,27,andhra pradesh,15apr2020,chittoor,27.428572
-82,-42,-48,-62,-54,28,andhra pradesh,16apr2020,chittoor,27.285715
-82,-42,-50,-63,-53,29,andhra pradesh,17apr2020,chittoor,27.142857
-83,-46,-54,-67,-50,27,andhra pradesh,18apr2020,chittoor,27
-82,-46,-55,-66,-33,22,andhra pradesh,19apr2020,chittoor,27.285715
-83,-46,-48,-65,-50,29,andhra pradesh,20apr2020,chittoor,27.714285
-83,-46,-48,-65,-54,27,andhra pradesh,21apr2020,chittoor,28
-83,-46,-50,-65,-54,29,andhra pradesh,22apr2020,chittoor,28.428572
-83,-46,-50,-66,-54,31,andhra pradesh,23apr2020,chittoor,28.571428
-83,-44,-51,-66,-53,31,andhra pradesh,24apr2020,chittoor,28.857143
-84,-48,-56,-68,-52,30,andhra pradesh,25apr2020,chittoor,29.142857
-83,-48,-57,-68,-33,23,andhra pradesh,26apr2020,chittoor,29
-83,-46,-50,-67,-50,31,andhra pradesh,27apr2020,chittoor,28.714285
-83,-46,-48,-65,-52,29,andhra pradesh,28apr2020,chittoor,28.428572
-82,-44,-49,-64,-52,28,andhra pradesh,29apr2020,chittoor,28.142857
-83,-41,-49,-65,-51,29,andhra pradesh,30apr2020,chittoor,27.857143
-82,-40,-50,-65,-54,29,andhra pradesh,01may2020,chittoor,27.142857
-82,-40,-55,-67,-47,28,andhra pradesh,02may2020,chittoor,26.571428
-82,-41,-56,-66,-28,21,andhra pradesh,03may2020,chittoor,26.142857
-79,-31,-48,-61,-44,26,andhra pradesh,04may2020,chittoor,25.571428
-79,-32,-46,-61,-46,25,andhra pradesh,05may2020,chittoor,25.142857
-77,-26,-47,-58,-45,25,andhra pradesh,06may2020,chittoor,24.857143
-77,-26,-46,-59,-43,25,andhra pradesh,07may2020,chittoor,24.714285
-78,-27,-48,-60,-42,26,andhra pradesh,08may2020,chittoor,24.714285
-79,-33,-53,-64,-44,26,andhra pradesh,09may2020,chittoor,24.714285
-78,-35,-53,-63,-23,20,andhra pradesh,10may2020,chittoor,24.571428
-77,-29,-46,-60,-38,26,andhra pradesh,11may2020,chittoor,24.571428
-77,-31,-44,-60,-41,25,andhra pradesh,12may2020,chittoor,24.571428
-77,-28,-46,-58,-41,24,andhra pradesh,13may2020,chittoor,24.285715
-76,-27,-47,-59,-38,25,andhra pradesh,14may2020,chittoor,24.142857
-76,-26,-49,-59,-37,26,andhra pradesh,15may2020,chittoor,23.714285
-76,-28,-53,-61,-33,24,andhra pradesh,16may2020,chittoor,23.142857
-76,-31,-53,-61,-16,19,andhra pradesh,17may2020,chittoor,22.857143
-74,-26,-46,-57,-32,23,andhra pradesh,18may2020,chittoor,22.428572
-73,-25,-44,-56,-35,21,andhra pradesh,19may2020,chittoor,22
-70,-18,-39,-53,-34,22,andhra pradesh,20may2020,chittoor,21.571428
-70,-17,-40,-52,-32,22,andhra pradesh,21may2020,chittoor,21.142857
-69,-15,-41,-53,-30,23,andhra pradesh,22may2020,chittoor,21.142857
-69,-15,-45,-55,-27,21,andhra pradesh,23may2020,chittoor,20.857143
-70,-19,-45,-55,-11,16,andhra pradesh,24may2020,chittoor,20.428572
-69,-14,-39,-54,-40,23,andhra pradesh,25may2020,chittoor,20.142857
-68,-15,-37,-51,-30,19,andhra pradesh,26may2020,chittoor,19.714285
-65,-7,-38,-47,-30,19,andhra pradesh,27may2020,chittoor,19.285715
-66,-9,-39,-49,-28,20,andhra pradesh,28may2020,chittoor,19
-66,-5,-40,-49,-26,20,andhra pradesh,29may2020,chittoor,18.142857
-65,-6,-45,-50,-20,18,andhra pradesh,30may2020,chittoor,17.857143
-67,-8,-45,-50,-2,14,andhra pradesh,31may2020,chittoor,17.571428
-62,2,-37,-44,-20,17,andhra pradesh,01jun2020,chittoor,17.285715
-62,-1,-35,-44,-24,17,andhra pradesh,02jun2020,chittoor,17
-60,4,-37,-41,-25,17,andhra pradesh,03jun2020,chittoor,16.714285
-61,6,-38,-41,-23,18,andhra pradesh,04jun2020,chittoor,16.571428
-58,8,-37,-44,-21,18,andhra pradesh,05jun2020,chittoor,16.428572
-58,7,-39,-45,-16,16,andhra pradesh,06jun2020,chittoor,16.142857
-61,0,-39,-47,-1,13,andhra pradesh,07jun2020,chittoor,15.714286
-55,11,-33,-40,-18,16,andhra pradesh,08jun2020,chittoor,15.571428
-55,6,-32,-39,-21,15,andhra pradesh,09jun2020,chittoor,15.285714
-52,14,-31,-34,-22,14,andhra pradesh,10jun2020,chittoor,15.285714
-53,7,-32,-39,-23,17,andhra pradesh,11jun2020,chittoor,15.142858
-51,11,-30,-39,-20,16,andhra pradesh,12jun2020,chittoor,15
-53,8,-37,-44,-23,16,andhra pradesh,13jun2020,chittoor,15
-56,1,-37,-46,1,12,andhra pradesh,14jun2020,chittoor,15.142858
-50,13,-30,-39,-18,15,andhra pradesh,15jun2020,chittoor,15
-52,6,-28,-41,-21,15,andhra pradesh,16jun2020,chittoor,15.285714
-51,10,-31,-39,-23,15,andhra pradesh,17jun2020,chittoor,15.142858
-52,9,-29,-42,-22,16,andhra pradesh,18jun2020,chittoor,16.285715
-53,7,-32,-44,-21,18,andhra pradesh,19jun2020,chittoor,16.714285
-53,5,-36,-47,-16,15,andhra pradesh,20jun2020,chittoor,16.857143
-67,-22,-45,-60,-7,20,andhra pradesh,21jun2020,chittoor,17.142857
-53,7,-31,-46,-20,18,andhra pradesh,22jun2020,chittoor,17.285715
-53,1,-29,-45,-24,16,andhra pradesh,23jun2020,chittoor,17.142857
-53,2,-31,-44,-24,17,andhra pradesh,24jun2020,chittoor,17.285715
-53,4,-31,-44,-23,17,andhra pradesh,25jun2020,chittoor,16.571428
-52,6,-31,-44,-21,17,andhra pradesh,26jun2020,chittoor,16.428572
-54,-2,-37,-49,-19,16,andhra pradesh,27jun2020,chittoor,16.428572
-60,-13,-40,-53,-4,15,andhra pradesh,28jun2020,chittoor,16.142857
-53,1,-31,-45,-19,17,andhra pradesh,29jun2020,chittoor,16.285715
-51,-1,-32,-46,-23,16,andhra pradesh,30jun2020,chittoor,16.428572
-49,5,-31,-43,-23,15,andhra pradesh,01jul2020,chittoor,16.428572
-53,0,-34,-46,-23,18,andhra pradesh,02jul2020,chittoor,16.285715
-51,7,-34,-46,-21,18,andhra pradesh,03jul2020,chittoor,16.285715
-51,5,-38,-48,-17,16,andhra pradesh,04jul2020,chittoor,16.428572
